"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"13.0","1.3084615384615386","2002","11","06"
"16.0","1.25","2002","11","06"
"15.01","1.2651565622918053","2002","11","06"
"16.0","1.25","2002","11","06"
"11.0","1.6363636363636365","2002","11","06"
"6.01","2.497504159733777","2002","11","06"
"6.01","2.662229617304493","2002","11","07"
"11.99","1.3344453711426187","2002","11","11"
"14.0","1.215","2002","11","12"
"11.0","1.4545454545454546","2002","11","12"
"11.0","1.908181818181818","2002","11","12"
"11.0","1.3645454545454545","2002","11","12"
"13.0","1.5384615384615385","2002","11","12"
"18.0","1.333888888888889","2002","11","13"
"11.0","2.090909090909091","2002","11","13"
"11.99","1.3344453711426187","2002","11","13"
"11.0","1.4545454545454546","2002","11","13"
"9.0","1.6677777777777778","2002","11","13"
"9.0","2.0","2002","11","13"
"17.01","1.2339800117577893","2002","11","13"
"20.99","1.2391615054787997","2002","11","13"
"18.0","1.555","2002","11","13"
"23.0","1.2608695652173914","2002","11","13"
"20.0","1.25","2002","11","13"
"24.01","1.374843815077051","2002","11","13"
"20.0","1.3995","2002","11","13"
"18.99","1.4739336492890995","2002","11","13"
"24.01","1.2078300708038316","2002","11","13"
"20.99","1.4287756074321105","2002","11","13"
"9.0","2.89","2002","11","13"
"9.0","1.6677777777777778","2002","11","13"
"9.99","1.8018018018018018","2002","11","13"
"11.99","1.2518765638031693","2002","11","13"
"14.0","1.499285714285714","2002","11","13"
"11.99","1.7506255212677229","2002","11","13"
"11.99","1.5838198498748957","2002","11","13"
"11.99","1.5838198498748957","2002","11","13"
"15.01","1.5996002664890074","2002","11","13"
"18.0","1.3888888888888888","2002","11","13"
"15.01","1.5323117921385743","2002","11","13"
"11.0","1.4545454545454546","2002","11","13"
"14.0","1.4285714285714286","2002","11","13"
"15.01","1.2651565622918053","2002","11","13"
"15.01","1.3324450366422385","2002","11","13"
"18.99","1.3164823591363877","2002","11","13"
"17.01","1.3521457965902408","2002","11","13"
"18.0","1.445","2002","11","13"
"18.99","1.3164823591363877","2002","11","13"
"13.0","1.6923076923076923","2002","11","13"
"13.0","1.7692307692307692","2002","11","13"
"15.01","1.3324450366422385","2002","11","13"
"17.01","1.2339800117577893","2002","11","13"
"18.0","1.2777777777777777","2002","11","14"
"17.01","1.5873015873015872","2002","11","14"
"14.0","1.4285714285714286","2002","11","14"
"11.99","1.6680567139282736","2002","11","14"
"7.0","2.0","2002","11","14"
"13.0","1.3084615384615386","2002","11","14"
"11.99","1.2518765638031693","2002","11","14"
"9.99","1.6016016016016015","2002","11","14"
"11.99","1.4186822351959967","2002","11","14"
"15.01","1.3324450366422385","2002","11","14"
"8.01","1.7478152309612984","2002","11","14"
"13.0","1.2307692307692308","2002","11","15"
"11.0","1.4545454545454546","2002","11","15"
"9.99","1.4014014014014013","2002","11","15"
"11.0","1.2727272727272727","2002","11","16"
"9.99","1.7027027027027029","2002","11","16"
"14.0","1.499285714285714","2002","11","16"
"9.99","1.4014014014014013","2002","11","16"
"11.99","1.3344453711426187","2002","11","16"
"9.99","1.7027027027027029","2002","11","16"
"9.99","1.4014014014014013","2002","11","17"
"13.0","1.2307692307692308","2002","11","17"
"13.0","1.3846153846153846","2002","11","17"
"11.99","1.5838198498748957","2002","11","17"
"15.01","1.4656895403064625","2002","11","17"
"14.0","1.3564285714285713","2002","11","17"
"15.01","1.3984010659560293","2002","11","17"
"15.01","1.3324450366422385","2002","11","17"
"18.0","1.166111111111111","2002","11","17"
"16.0","1.311875","2002","11","17"
"18.0","1.333888888888889","2002","11","17"
"14.0","1.499285714285714","2002","11","17"
"17.01","1.3521457965902408","2002","11","17"
"15.01","1.2651565622918053","2002","11","17"
"13.0","1.2307692307692308","2002","11","17"
"15.01","1.3324450366422385","2002","11","17"
"13.0","1.4607692307692306","2002","11","17"
"9.99","1.8018018018018018","2002","11","17"
"14.0","1.215","2002","11","18"
"14.0","1.215","2002","11","18"
"9.99","1.8018018018018018","2002","11","18"
"9.99","1.7027027027027029","2002","11","18"
"11.99","1.2518765638031693","2002","11","18"
"11.99","1.2518765638031693","2002","11","18"
"11.0","1.2727272727272727","2002","11","19"
"15.01","1.2651565622918053","2002","11","19"
"9.99","2.1011011011011007","2002","11","19"
"13.0","1.5384615384615385","2002","11","19"
"11.99","1.3344453711426187","2002","11","19"
"11.0","1.4545454545454546","2002","11","19"
"9.99","1.6016016016016015","2002","11","20"
"20.0","1.2005000000000001","2002","11","20"
"18.0","1.2777777777777777","2002","11","21"
"15.01","1.3324450366422385","2002","11","21"
"15.01","1.3324450366422385","2002","11","21"
"17.01","1.2933568489124043","2002","11","21"
"18.99","1.1585044760400212","2002","11","21"
"17.01","1.3521457965902408","2002","11","21"
"16.0","1.311875","2002","11","21"
"23.0","1.2169565217391303","2002","11","21"
"17.01","1.5873015873015872","2002","11","21"
"20.99","1.2391615054787997","2002","11","21"
"20.0","1.3995","2002","11","21"
"17.01","1.7630805408583183","2002","11","21"
"18.99","1.2643496577145867","2002","11","21"
"13.0","1.7692307692307692","2002","11","21"
"6.01","2.497504159733777","2002","11","21"
"8.01","1.7478152309612984","2002","11","21"
"11.0","1.2727272727272727","2002","11","23"
"11.99","1.2518765638031693","2002","11","24"
"11.99","1.2518765638031693","2002","11","24"
"16.0","1.375","2002","11","25"
"16.0","1.375","2002","11","25"
"15.01","1.2651565622918053","2002","11","25"
"16.0","1.186875","2002","11","25"
"16.0","1.25","2002","11","25"
"15.01","1.3984010659560293","2002","11","25"
"14.0","1.715","2002","11","25"
"14.0","1.4285714285714286","2002","11","25"
"16.0","1.311875","2002","11","25"
"15.01","1.4656895403064625","2002","11","25"
"14.0","1.5714285714285714","2002","11","25"
"18.0","1.2222222222222223","2002","11","25"
"18.0","1.5","2002","11","25"
"17.01","1.4115226337448559","2002","11","25"
"15.01","1.5996002664890074","2002","11","25"
"15.01","1.2651565622918053","2002","11","25"
"20.0","1.2005000000000001","2002","11","25"
"18.0","1.333888888888889","2002","11","25"
"20.0","1.3005","2002","11","25"
"16.0","1.500625","2002","11","25"
"18.0","1.3888888888888888","2002","11","25"
"11.99","2.085070892410342","2002","11","26"
"18.0","1.333888888888889","2002","11","26"
"18.0","1.333888888888889","2002","11","26"
"20.0","1.3005","2002","11","26"
"20.0","1.45","2002","11","26"
"17.01","1.5873015873015872","2002","11","26"
"17.01","1.6455026455026454","2002","11","26"
"18.0","1.445","2002","11","26"
"20.0","1.25","2002","11","26"
"18.0","1.7222222222222223","2002","11","26"
"20.0","1.3995","2002","11","26"
"20.99","1.3334921391138637","2002","11","26"
"18.0","1.333888888888889","2002","11","26"
"17.01","1.3521457965902408","2002","11","26"
"20.99","1.2863268222963318","2002","11","26"
"18.0","1.333888888888889","2002","11","26"
"18.99","1.5271195365982098","2002","11","26"
"17.01","1.529100529100529","2002","11","26"
"17.01","1.4115226337448559","2002","11","26"
"18.99","1.2643496577145867","2002","11","26"
"18.99","1.2111637704054767","2002","11","26"
"20.0","1.3005","2002","11","26"
"17.01","1.2933568489124043","2002","11","26"
"15.01","1.3984010659560293","2002","11","26"
"15.01","1.3324450366422385","2002","11","26"
"17.01","1.1757789535567311","2002","11","26"
"18.0","1.2222222222222223","2002","11","26"
"17.01","1.2933568489124043","2002","11","26"
"15.01","1.4656895403064625","2002","11","26"
"18.99","1.2111637704054767","2002","11","26"
"15.01","1.3324450366422385","2002","11","26"
"14.0","1.4285714285714286","2002","11","26"
"17.01","1.2933568489124043","2002","11","26"
"18.99","1.3164823591363877","2002","11","26"
"20.0","1.2005000000000001","2002","11","26"
"18.99","1.2643496577145867","2002","11","26"
"18.99","1.2111637704054767","2002","11","26"
"18.0","1.6111111111111112","2002","11","26"
"20.99","1.2391615054787997","2002","11","26"
"18.99","1.3164823591363877","2002","11","26"
"22.0","1.1363636363636365","2002","11","26"
"18.0","1.3888888888888888","2002","11","26"
"18.99","1.369668246445498","2002","11","26"
"18.99","1.4218009478672986","2002","11","26"
"20.99","1.191043353978085","2002","11","26"
"20.0","1.45","2002","11","26"
"20.99","1.2863268222963318","2002","11","26"
"20.0","1.45","2002","11","26"
"16.0","1.5625","2002","11","26"
"17.01","1.529100529100529","2002","11","26"
"15.01","1.3984010659560293","2002","11","26"
"11.99","1.4186822351959967","2002","11","26"
"9.99","1.5025025025025025","2002","11","26"
"14.0","1.2857142857142858","2002","11","26"
"16.0","1.311875","2002","11","26"
"13.0","1.2307692307692308","2002","11","27"
"8.01","1.9975031210986267","2002","11","27"
