"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.01","2.497504159733777","2002","11","06"
"7.0","2.5714285714285716","2002","12","24"
"11.0","1.3645454545454545","2003","01","05"
"7.0","2.0","2003","01","05"
"16.0","1.749375","2003","01","06"
"16.0","1.9375","2003","01","06"
"9.0","1.5555555555555556","2003","02","03"
"9.0","1.8900000000000001","2003","02","03"
"7.0","2.0","2003","02","03"
"5.0","3.2","2003","03","01"
"5.0","3.002","2003","03","18"
"9.99","1.6016016016016015","2003","03","23"
"9.99","1.6016016016016015","2003","03","23"
"5.0","3.002","2003","03","30"
"9.0","1.6677777777777778","2003","04","11"
"15.01","1.1992005329780147","2003","04","27"
"16.0","1.25","2003","04","27"
"13.0","1.4607692307692306","2003","04","27"
"8.01","1.9975031210986267","2003","04","27"
"4.0","3.7525","2003","05","14"
"8.01","2.4968789013732833","2003","06","14"
"13.0","1.3084615384615386","2003","06","24"
"9.99","1.4014014014014013","2003","07","19"
"5.0","3.002","2003","08","21"
"8.01","1.7478152309612984","2003","08","24"
"13.0","1.4607692307692306","2003","09","11"
"8.01","1.9975031210986267","2003","09","14"
"9.99","1.4014014014014013","2003","09","14"
"14.0","1.3564285714285713","2003","09","14"
"2.99","5.351170568561873","2003","09","20"
"9.99","1.6016016016016015","2003","09","24"
"9.0","1.7777777777777777","2003","09","26"
"7.0","2.0","2003","10","04"
"7.0","2.0","2003","10","04"
"9.0","2.0","2003","10","25"
"9.0","1.8900000000000001","2003","10","28"
"9.0","1.6677777777777778","2003","10","28"
"9.0","1.5555555555555556","2003","11","23"
"6.01","2.662229617304493","2003","11","30"
"9.0","1.6677777777777778","2003","11","30"
"11.99","1.3344453711426187","2003","12","02"
"8.01","1.7478152309612984","2003","12","02"
"6.01","2.497504159733777","2003","12","02"
"5.0","3.6","2003","12","15"
"9.0","1.7777777777777777","2004","03","05"
"13.0","1.3846153846153846","2004","03","06"
"14.0","1.2857142857142858","2004","03","06"
"7.0","2.144285714285714","2004","03","06"
"18.0","1.555","2004","03","07"
"16.0","1.9375","2004","03","07"
"14.0","1.9285714285714286","2004","03","07"
"13.0","2.153076923076923","2004","03","07"
"13.0","1.9230769230769231","2004","03","07"
"14.0","1.7857142857142858","2004","03","07"
"15.01","1.665556295802798","2004","03","07"
"16.0","1.6875","2004","03","07"
"16.0","1.5625","2004","03","07"
"17.01","1.5873015873015872","2004","03","07"
"11.99","1.4186822351959967","2004","03","09"
"7.0","2.0","2004","03","09"
"9.0","1.6677777777777778","2004","03","09"
"8.01","2.4968789013732833","2004","03","09"
"9.99","1.5025025025025025","2004","03","09"
"9.0","2.2222222222222223","2004","03","09"
"11.0","2.090909090909091","2004","03","09"
"8.01","1.9975031210986267","2004","03","09"
"11.0","1.5463636363636366","2004","03","09"
"5.0","3.002","2004","03","09"
"7.0","2.144285714285714","2004","03","15"
"13.0","1.8469230769230771","2004","03","16"
"6.01","2.329450915141431","2004","03","17"
"9.0","1.6677777777777778","2004","03","27"
"5.0","3.2","2004","03","27"
"11.0","2.182727272727273","2004","03","30"
"8.01","1.7478152309612984","2004","03","30"
"6.01","2.329450915141431","2004","03","30"
"11.0","1.2727272727272727","2004","03","31"
"6.01","2.497504159733777","2004","05","31"
"9.0","1.5555555555555556","2004","06","13"
"9.0","1.7777777777777777","2004","07","16"
"7.0","2.144285714285714","2004","09","21"
"6.01","2.329450915141431","2004","09","21"
"9.0","1.7777777777777777","2004","09","24"
