"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"8.01","1.7478152309612984","2002","11","21"
"20.99","1.4768937589328253","2003","01","06"
"11.0","1.2727272727272727","2003","01","07"
"17.01","1.2933568489124043","2003","01","07"
"16.0","1.625625","2003","03","14"
"9.99","1.4014014014014013","2003","03","14"
"11.99","1.4186822351959967","2003","03","23"
"11.99","1.6680567139282736","2003","03","23"
"16.0","1.311875","2003","03","23"
"13.0","1.6146153846153846","2003","03","23"
"14.0","1.6428571428571428","2003","03","23"
"13.0","1.2307692307692308","2003","03","23"
"11.0","1.5463636363636366","2003","03","23"
"11.0","1.7263636363636363","2003","03","23"
"11.99","1.4186822351959967","2003","03","23"
"9.99","1.4014014014014013","2003","03","23"
"8.01","2.4968789013732833","2003","03","30"
"8.01","1.7478152309612984","2003","03","30"
"11.99","1.5012510425354462","2003","03","30"
"9.99","1.5025025025025025","2003","03","30"
"9.0","1.8900000000000001","2003","04","09"
"8.01","1.873907615480649","2003","04","12"
"11.99","1.3344453711426187","2003","04","12"
"11.99","1.2518765638031693","2003","04","12"
"4.0","3.7525","2003","04","12"
"6.01","2.329450915141431","2003","04","27"
"9.0","1.5555555555555556","2003","04","27"
"11.0","1.2727272727272727","2003","04","27"
"9.99","1.5025025025025025","2003","05","01"
"16.0","1.500625","2003","05","12"
"8.01","2.247191011235955","2003","05","12"
"11.0","1.5463636363636366","2003","05","13"
"11.99","1.4186822351959967","2003","05","13"
"13.0","1.2307692307692308","2003","05","15"
"11.0","1.3645454545454545","2003","05","17"
"9.0","1.5555555555555556","2003","06","07"
"9.99","1.4014014014014013","2003","06","08"
"8.01","1.7478152309612984","2003","06","13"
"9.99","1.7027027027027029","2003","06","26"
"8.01","1.7478152309612984","2003","06","26"
"9.99","1.6016016016016015","2003","06","26"
"11.0","1.2727272727272727","2003","07","29"
"11.0","1.3645454545454545","2003","09","07"
"9.99","1.9009009009009008","2003","09","08"
"7.0","2.43","2003","09","14"
"9.99","1.4014014014014013","2003","09","14"
"11.0","1.4545454545454546","2003","09","14"
"8.01","1.873907615480649","2003","09","14"
"9.0","1.5555555555555556","2003","09","14"
"11.0","1.5463636363636366","2003","09","19"
"9.99","1.6016016016016015","2003","09","19"
"13.0","1.3084615384615386","2003","09","19"
