,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,30,1.8018018018018016,12,9.99,2002,PAEL_SE.csv
1,3,2.0,1,11.0,2003,PAEL_SE.csv
2,5,3.2857142857142856,1,7.0,2003,PAEL_SE.csv
3,24,1.4968789013732835,1,8.01,2003,PAEL_SE.csv
4,25,1.6680567139282736,1,11.99,2003,PAEL_SE.csv
5,25,1.873907615480649,1,8.01,2003,PAEL_SE.csv
6,25,2.002002002002002,1,9.99,2003,PAEL_SE.csv
7,29,1.8018018018018016,1,9.99,2003,PAEL_SE.csv
8,15,1.6016016016016017,3,9.99,2003,PAEL_SE.csv
9,15,1.4968789013732835,3,8.01,2003,PAEL_SE.csv
10,15,2.1235955056179776,3,8.01,2003,PAEL_SE.csv
11,16,1.8018018018018016,3,9.99,2003,PAEL_SE.csv
12,16,1.9975031210986267,3,8.01,2003,PAEL_SE.csv
13,19,1.7027027027027029,7,9.99,2003,PAEL_SE.csv
14,19,1.5025025025025025,7,9.99,2003,PAEL_SE.csv
15,2,3.1597337770382694,9,6.01,2003,PAEL_SE.csv
16,2,1.8018018018018016,9,9.99,2003,PAEL_SE.csv
17,7,2.4975041597337766,9,6.01,2003,PAEL_SE.csv
18,24,1.6016016016016017,9,9.99,2003,PAEL_SE.csv
19,27,3.798,9,5.0,2003,PAEL_SE.csv
20,28,1.7027027027027029,9,9.99,2003,PAEL_SE.csv
21,28,2.0,9,9.0,2003,PAEL_SE.csv
22,5,2.398,10,5.0,2003,PAEL_SE.csv
23,13,2.3707865168539324,10,8.01,2003,PAEL_SE.csv
24,22,1.798800799467022,12,15.01,2003,PAEL_SE.csv
25,29,3.002,12,5.0,2003,PAEL_SE.csv
26,8,2.3322222222222218,1,9.0,2004,PAEL_SE.csv
27,8,2.5445454545454544,1,11.0,2004,PAEL_SE.csv
28,8,2.998571428571428,1,7.0,2004,PAEL_SE.csv
29,8,3.002,1,5.0,2004,PAEL_SE.csv
30,17,2.4444444444444446,1,9.0,2004,PAEL_SE.csv
31,17,2.1011011011011007,1,9.99,2004,PAEL_SE.csv
32,17,2.4444444444444446,1,9.0,2004,PAEL_SE.csv
33,20,1.9081818181818182,1,11.0,2004,PAEL_SE.csv
34,20,1.6680567139282736,1,11.99,2004,PAEL_SE.csv
35,26,2.2857142857142856,1,7.0,2004,PAEL_SE.csv
36,27,1.5012510425354462,1,11.99,2004,PAEL_SE.csv
37,30,1.873907615480649,1,8.01,2004,PAEL_SE.csv
38,5,2.4968789013732837,2,8.01,2004,PAEL_SE.csv
39,17,3.1597337770382694,2,6.01,2004,PAEL_SE.csv
40,17,1.8018018018018016,2,9.99,2004,PAEL_SE.csv
41,25,1.9009009009009008,2,9.99,2004,PAEL_SE.csv
42,3,2.712857142857142,3,7.0,2004,PAEL_SE.csv
43,7,3.0020020020020017,3,9.99,2004,PAEL_SE.csv
44,21,2.712857142857142,3,7.0,2004,PAEL_SE.csv
45,23,3.571428571428572,3,7.0,2004,PAEL_SE.csv
46,23,2.571428571428572,3,7.0,2004,PAEL_SE.csv
47,28,2.002002002002002,3,9.99,2004,PAEL_SE.csv
48,7,1.8018018018018016,4,9.99,2004,PAEL_SE.csv
49,7,1.4968789013732835,4,8.01,2004,PAEL_SE.csv
50,7,1.7478152309612984,4,8.01,2004,PAEL_SE.csv
51,1,1.5012510425354462,5,11.99,2004,PAEL_SE.csv
52,1,1.9081818181818182,5,11.0,2004,PAEL_SE.csv
53,3,1.7027027027027029,6,9.99,2004,PAEL_SE.csv
54,10,2.11,8,9.0,2004,PAEL_SE.csv
55,22,1.5012510425354462,8,11.99,2004,PAEL_SE.csv
56,10,2.4444444444444446,9,9.0,2004,PAEL_SE.csv
57,15,2.247191011235955,11,8.01,2004,PAEL_SE.csv
58,7,2.9950083194675536,12,6.01,2004,PAEL_SE.csv
59,8,3.4019999999999997,12,5.0,2004,PAEL_SE.csv
60,9,2.8302828618968388,12,6.01,2004,PAEL_SE.csv
61,13,2.43,12,7.0,2004,PAEL_SE.csv
62,15,2.1235955056179776,12,8.01,2004,PAEL_SE.csv
63,15,2.0,12,9.0,2004,PAEL_SE.csv
64,19,2.7777777777777777,1,9.0,2005,PAEL_SE.csv
65,19,2.746566791510612,1,8.01,2005,PAEL_SE.csv
66,19,2.571428571428572,1,7.0,2005,PAEL_SE.csv
67,20,2.6677777777777782,1,9.0,2005,PAEL_SE.csv
68,20,2.4034034034034035,1,9.99,2005,PAEL_SE.csv
69,20,2.3023023023023024,1,9.99,2005,PAEL_SE.csv
70,21,2.247191011235955,1,8.01,2005,PAEL_SE.csv
71,21,1.9081818181818182,1,11.0,2005,PAEL_SE.csv
72,21,3.8571428571428568,1,7.0,2005,PAEL_SE.csv
73,22,2.1011011011011007,1,9.99,2005,PAEL_SE.csv
74,7,2.0,2,11.0,2005,PAEL_SE.csv
75,26,1.5012510425354462,2,11.99,2005,PAEL_SE.csv
76,26,1.5012510425354462,2,11.99,2005,PAEL_SE.csv
77,26,1.7027027027027029,3,9.99,2005,PAEL_SE.csv
78,26,1.6016016016016017,3,9.99,2005,PAEL_SE.csv
79,2,2.0,9,9.0,2005,PAEL_SE.csv
80,18,1.8018018018018016,9,9.99,2005,PAEL_SE.csv
81,22,1.665556295802798,10,15.01,2005,PAEL_SE.csv
82,8,1.873907615480649,11,8.01,2005,PAEL_SE.csv
83,1,2.11,12,9.0,2005,PAEL_SE.csv
84,1,2.0,12,9.0,2005,PAEL_SE.csv
85,3,3.002,12,5.0,2005,PAEL_SE.csv
86,14,1.818181818181818,12,11.0,2005,PAEL_SE.csv
87,18,2.002002002002002,12,9.99,2005,PAEL_SE.csv
88,18,1.8018018018018016,12,9.99,2005,PAEL_SE.csv
89,20,2.3023023023023024,12,9.99,2005,PAEL_SE.csv
90,21,2.002002002002002,12,9.99,2005,PAEL_SE.csv
91,21,1.8018018018018016,12,9.99,2005,PAEL_SE.csv
92,22,2.002002002002002,12,9.99,2005,PAEL_SE.csv
93,22,1.8348623853211008,12,11.99,2005,PAEL_SE.csv
94,27,2.2222222222222223,12,9.0,2005,PAEL_SE.csv
95,27,2.247191011235955,12,8.01,2005,PAEL_SE.csv
96,7,1.5025025025025025,1,9.99,2006,PAEL_SE.csv
97,8,2.4968789013732837,1,8.01,2006,PAEL_SE.csv
98,8,2.8714107365792763,1,8.01,2006,PAEL_SE.csv
99,9,2.4444444444444446,1,9.0,2006,PAEL_SE.csv
100,16,2.002002002002002,1,9.99,2006,PAEL_SE.csv
101,16,2.43,1,7.0,2006,PAEL_SE.csv
102,31,2.002002002002002,1,9.99,2006,PAEL_SE.csv
103,1,2.3322222222222218,2,9.0,2006,PAEL_SE.csv
104,7,2.2022022022022023,2,9.99,2006,PAEL_SE.csv
105,9,1.5025025025025025,2,9.99,2006,PAEL_SE.csv
106,10,2.3023023023023024,2,9.99,2006,PAEL_SE.csv
107,10,2.8571428571428568,2,7.0,2006,PAEL_SE.csv
108,11,1.846923076923077,2,13.0,2006,PAEL_SE.csv
109,28,3.1428571428571432,2,7.0,2006,PAEL_SE.csv
110,28,1.873907615480649,2,8.01,2006,PAEL_SE.csv
111,12,3.002,3,5.0,2006,PAEL_SE.csv
112,24,1.5025025025025025,4,9.99,2006,PAEL_SE.csv
113,25,2.247191011235955,6,8.01,2006,PAEL_SE.csv
114,28,2.1011011011011007,8,9.99,2006,PAEL_SE.csv
115,4,2.2222222222222223,9,9.0,2006,PAEL_SE.csv
116,4,1.9081818181818182,9,11.0,2006,PAEL_SE.csv
117,7,1.8018018018018016,9,9.99,2006,PAEL_SE.csv
118,24,1.8018018018018016,9,9.99,2006,PAEL_SE.csv
119,24,1.4968789013732835,9,8.01,2006,PAEL_SE.csv
120,9,1.4968789013732835,10,8.01,2006,PAEL_SE.csv
121,12,1.873907615480649,11,8.01,2006,PAEL_SE.csv
122,12,2.4975041597337766,11,6.01,2006,PAEL_SE.csv
123,20,3.492512479201331,11,6.01,2006,PAEL_SE.csv
124,17,2.002002002002002,12,9.99,2006,PAEL_SE.csv
125,17,1.7478152309612984,1,8.01,2007,PAEL_SE.csv
126,3,1.8018018018018016,2,9.99,2007,PAEL_SE.csv
127,4,3.798,2,5.0,2007,PAEL_SE.csv
128,4,1.5025025025025025,2,9.99,2007,PAEL_SE.csv
129,4,1.7506255212677229,2,11.99,2007,PAEL_SE.csv
130,6,1.5025025025025025,2,9.99,2007,PAEL_SE.csv
131,6,1.6680567139282736,2,11.99,2007,PAEL_SE.csv
132,6,2.571428571428572,2,7.0,2007,PAEL_SE.csv
133,11,2.11,2,9.0,2007,PAEL_SE.csv
134,23,2.182727272727273,2,11.0,2007,PAEL_SE.csv
135,23,2.2857142857142856,2,14.0,2007,PAEL_SE.csv
136,23,2.3023023023023024,2,9.99,2007,PAEL_SE.csv
137,23,2.11,2,9.0,2007,PAEL_SE.csv
138,1,2.7777777777777777,3,9.0,2007,PAEL_SE.csv
139,5,2.1011011011011007,3,9.99,2007,PAEL_SE.csv
140,5,2.9375,3,16.0,2007,PAEL_SE.csv
141,6,2.2142857142857144,3,14.0,2007,PAEL_SE.csv
142,6,2.3645454545454547,3,11.0,2007,PAEL_SE.csv
143,6,2.1011011011011007,3,9.99,2007,PAEL_SE.csv
144,10,2.746566791510612,3,8.01,2007,PAEL_SE.csv
145,10,3.2,3,5.0,2007,PAEL_SE.csv
146,10,3.2222222222222223,3,9.0,2007,PAEL_SE.csv
147,10,2.571428571428572,3,7.0,2007,PAEL_SE.csv
148,28,2.571428571428572,3,7.0,2007,PAEL_SE.csv
149,5,2.002002002002002,4,9.99,2007,PAEL_SE.csv
150,5,2.0,4,9.0,2007,PAEL_SE.csv
151,5,1.665556295802798,4,15.01,2007,PAEL_SE.csv
152,5,2.1011011011011007,4,9.99,2007,PAEL_SE.csv
153,7,2.8714107365792763,4,8.01,2007,PAEL_SE.csv
154,12,1.6363636363636365,4,11.0,2007,PAEL_SE.csv
155,12,1.9009009009009008,4,9.99,2007,PAEL_SE.csv
156,26,2.002002002002002,4,9.99,2007,PAEL_SE.csv
157,30,1.7027027027027029,4,9.99,2007,PAEL_SE.csv
158,14,1.7263636363636363,5,11.0,2007,PAEL_SE.csv
159,16,2.002002002002002,5,9.99,2007,PAEL_SE.csv
160,16,1.9009009009009008,5,9.99,2007,PAEL_SE.csv
161,16,2.3707865168539324,5,8.01,2007,PAEL_SE.csv
162,22,2.2857142857142856,5,7.0,2007,PAEL_SE.csv
163,25,1.873907615480649,5,8.01,2007,PAEL_SE.csv
164,25,2.11,5,9.0,2007,PAEL_SE.csv
165,2,2.4968789013732837,6,8.01,2007,PAEL_SE.csv
166,4,1.6016016016016017,6,9.99,2007,PAEL_SE.csv
167,4,1.9009009009009008,6,9.99,2007,PAEL_SE.csv
168,27,1.9975031210986267,8,8.01,2007,PAEL_SE.csv
169,27,2.247191011235955,8,8.01,2007,PAEL_SE.csv
170,27,2.712857142857142,8,7.0,2007,PAEL_SE.csv
171,15,1.5025025025025025,9,9.99,2007,PAEL_SE.csv
172,30,1.873907615480649,10,8.01,2007,PAEL_SE.csv
173,30,1.4968789013732835,10,8.01,2007,PAEL_SE.csv
174,20,2.11,11,9.0,2007,PAEL_SE.csv
175,21,1.873907615480649,11,8.01,2007,PAEL_SE.csv
176,21,2.6204744069912604,11,8.01,2007,PAEL_SE.csv
177,14,2.8714107365792763,12,8.01,2007,PAEL_SE.csv
178,23,2.919933277731442,12,11.99,2007,PAEL_SE.csv
179,23,1.873907615480649,12,8.01,2007,PAEL_SE.csv
180,23,2.2518765638031693,12,11.99,2007,PAEL_SE.csv
181,29,2.9975031210986267,12,8.01,2007,PAEL_SE.csv
182,2,2.1011011011011007,1,9.99,2008,PAEL_SE.csv
183,2,2.746566791510612,1,8.01,2008,PAEL_SE.csv
184,1,1.873907615480649,2,8.01,2008,PAEL_SE.csv
185,3,1.9009009009009008,2,9.99,2008,PAEL_SE.csv
186,3,2.2022022022022023,2,9.99,2008,PAEL_SE.csv
187,10,2.746566791510612,2,8.01,2008,PAEL_SE.csv
188,19,2.182727272727273,2,11.0,2008,PAEL_SE.csv
189,19,2.603603603603604,2,9.99,2008,PAEL_SE.csv
190,19,1.9009009009009008,2,9.99,2008,PAEL_SE.csv
191,24,1.4968789013732835,2,8.01,2008,PAEL_SE.csv
192,26,1.7478152309612984,2,8.01,2008,PAEL_SE.csv
193,22,3.002,3,5.0,2008,PAEL_SE.csv
194,22,2.571428571428572,3,7.0,2008,PAEL_SE.csv
195,24,2.2222222222222223,3,9.0,2008,PAEL_SE.csv
196,16,2.7777777777777777,5,9.0,2008,PAEL_SE.csv
197,16,1.932045303131246,5,15.01,2008,PAEL_SE.csv
198,16,2.603603603603604,5,9.99,2008,PAEL_SE.csv
199,16,3.0020020020020017,5,9.99,2008,PAEL_SE.csv
200,19,1.6146153846153846,8,13.0,2008,PAEL_SE.csv
201,19,1.818181818181818,8,11.0,2008,PAEL_SE.csv
202,1,2.0850708924103416,11,11.99,2008,PAEL_SE.csv
203,1,2.0850708924103416,11,11.99,2008,PAEL_SE.csv
204,21,2.002002002002002,11,9.99,2008,PAEL_SE.csv
205,4,2.002002002002002,1,9.99,2009,PAEL_SE.csv
206,15,2.8714107365792763,1,8.01,2009,PAEL_SE.csv
207,17,2.585487906588824,1,11.99,2009,PAEL_SE.csv
208,17,3.0020020020020017,1,9.99,2009,PAEL_SE.csv
209,17,2.5445454545454544,1,11.0,2009,PAEL_SE.csv
210,12,2.002002002002002,3,9.99,2009,PAEL_SE.csv
211,17,2.8571428571428568,3,7.0,2009,PAEL_SE.csv
212,17,2.1011011011011007,3,9.99,2009,PAEL_SE.csv
213,17,2.1011011011011007,3,9.99,2009,PAEL_SE.csv
214,20,2.247191011235955,4,8.01,2009,PAEL_SE.csv
215,15,1.6428571428571428,9,14.0,2009,PAEL_SE.csv
216,26,2.002002002002002,9,9.99,2009,PAEL_SE.csv
217,7,2.6,10,5.0,2009,PAEL_SE.csv
218,7,1.7027027027027029,10,9.99,2009,PAEL_SE.csv
219,24,2.0,10,11.0,2009,PAEL_SE.csv
220,1,2.002002002002002,11,9.99,2009,PAEL_SE.csv
221,6,2.6622296173044933,1,6.01,2010,PAEL_SE.csv
222,6,2.6204744069912604,1,8.01,2010,PAEL_SE.csv
223,10,2.002002002002002,1,9.99,2010,PAEL_SE.csv
224,20,2.2222222222222223,1,9.0,2010,PAEL_SE.csv
225,20,2.2222222222222223,1,9.0,2010,PAEL_SE.csv
226,24,1.7263636363636363,1,11.0,2010,PAEL_SE.csv
227,26,1.818181818181818,1,11.0,2010,PAEL_SE.csv
228,27,2.247191011235955,1,8.01,2010,PAEL_SE.csv
229,27,2.0,1,9.0,2010,PAEL_SE.csv
230,30,2.0,1,11.0,2010,PAEL_SE.csv
231,8,1.6680567139282736,2,11.99,2010,PAEL_SE.csv
232,14,2.247191011235955,2,8.01,2010,PAEL_SE.csv
233,14,2.11,2,9.0,2010,PAEL_SE.csv
234,14,1.8018018018018016,3,9.99,2010,PAEL_SE.csv
235,25,2.002002002002002,9,9.99,2010,PAEL_SE.csv
236,31,2.002002002002002,1,9.99,2011,PAEL_SE.csv
237,27,1.6016016016016017,3,9.99,2011,PAEL_SE.csv
238,27,2.002002002002002,3,9.99,2011,PAEL_SE.csv
239,27,2.002002002002002,3,9.99,2011,PAEL_SE.csv
240,19,2.0,8,9.0,2011,PAEL_SE.csv
241,7,2.002002002002002,2,9.99,2012,PAEL_SE.csv
242,7,2.002002002002002,2,9.99,2012,PAEL_SE.csv
243,8,1.8348623853211008,2,11.99,2012,PAEL_SE.csv
244,8,2.002002002002002,2,9.99,2012,PAEL_SE.csv
245,29,1.7027027027027029,4,9.99,2012,PAEL_SE.csv
246,22,2.4444444444444446,9,9.0,2014,PAEL_SE.csv
247,7,2.16930775646372,12,11.99,2014,PAEL_SE.csv
248,6,2.8714107365792763,1,8.01,2015,PAEL_SE.csv
249,6,2.3322222222222218,1,9.0,2015,PAEL_SE.csv
250,6,2.1235955056179776,1,8.01,2015,PAEL_SE.csv
251,9,2.0850708924103416,1,11.99,2015,PAEL_SE.csv
252,20,1.8348623853211008,1,11.99,2015,PAEL_SE.csv
253,8,2.002002002002002,4,9.99,2015,PAEL_SE.csv
254,8,2.571428571428572,12,7.0,2015,PAEL_SE.csv
255,8,1.8348623853211008,12,11.99,2015,PAEL_SE.csv
256,19,1.846923076923077,12,13.0,2015,PAEL_SE.csv
257,19,1.9009009009009008,12,9.99,2015,PAEL_SE.csv
258,19,2.0850708924103416,12,11.99,2015,PAEL_SE.csv
259,20,2.002002002002002,12,9.99,2015,PAEL_SE.csv
260,20,2.090909090909091,12,11.0,2015,PAEL_SE.csv
261,17,1.8348623853211008,10,11.99,2016,PAEL_SE.csv
262,27,2.002002002002002,10,9.99,2016,PAEL_SE.csv
263,22,1.4994999999999998,1,20.0,2017,PAEL_SE.csv
264,22,2.002002002002002,1,9.99,2017,PAEL_SE.csv
265,22,2.0025020850708923,1,11.99,2017,PAEL_SE.csv
266,11,2.002002002002002,3,9.99,2018,PAEL_SE.csv
267,20,1.4994999999999998,3,20.0,2019,PAEL_SE.csv
268,20,1.9980013324450363,3,15.01,2019,PAEL_SE.csv
269,8,2.002002002002002,4,9.99,2019,PAEL_SE.csv
270,23,2.002002002002002,10,9.99,2019,PAEL_SE.csv
271,4,1.8349328214971208,2,5.21,2019,F4561_SE.csv
272,4,1.4292763157894737,2,6.08,2019,F4561_SE.csv
273,4,2.207852193995381,2,4.33,2019,F4561_SE.csv
274,4,1.5,2,6.96,2019,F4561_SE.csv
275,4,2.0038387715930903,2,5.21,2019,F4561_SE.csv
276,4,1.5723684210526316,2,6.08,2019,F4561_SE.csv
277,4,4.965714285714285,2,1.75,2019,F4561_SE.csv
278,4,4.977011494252873,2,0.87,2019,F4561_SE.csv
279,4,2.4742857142857138,2,1.75,2019,F4561_SE.csv
280,4,3.474285714285714,2,1.75,2019,F4561_SE.csv
281,4,2.4971264367816093,2,3.48,2019,F4561_SE.csv
282,4,1.5,2,6.96,2019,F4561_SE.csv
283,4,2.6073903002309464,2,4.33,2019,F4561_SE.csv
284,4,2.3358925143953937,2,5.21,2019,F4561_SE.csv
285,4,1.5,2,6.96,2019,F4561_SE.csv
286,4,2.0038387715930903,2,5.21,2019,F4561_SE.csv
287,4,2.0038387715930903,2,5.21,2019,F4561_SE.csv
288,4,1.6670934699103714,2,7.81,2019,F4561_SE.csv
289,5,2.4990403071017275,2,5.21,2019,F4561_SE.csv
290,5,2.7471264367816093,2,3.48,2019,F4561_SE.csv
291,5,2.0016447368421053,2,6.08,2019,F4561_SE.csv
292,5,1.7485632183908046,2,6.96,2019,F4561_SE.csv
293,5,9.988505747126435,2,0.87,2019,F4561_SE.csv
294,5,2.4110854503464196,2,4.33,2019,F4561_SE.csv
295,5,12.977011494252872,2,0.87,2019,F4561_SE.csv
296,5,2.244252873563218,2,3.48,2019,F4561_SE.csv
297,5,2.4971264367816093,2,3.48,2019,F4561_SE.csv
298,5,3.210161662817552,2,4.33,2019,F4561_SE.csv
299,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
300,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
301,5,4.977011494252873,2,0.87,2019,F4561_SE.csv
302,5,1.6653846153846157,2,2.6,2019,F4561_SE.csv
303,5,2.0,2,3.48,2019,F4561_SE.csv
304,5,3.977142857142857,2,1.75,2019,F4561_SE.csv
305,5,2.9885057471264367,2,0.87,2019,F4561_SE.csv
306,5,2.9885057471264367,2,0.87,2019,F4561_SE.csv
307,5,1.9885714285714289,2,1.75,2019,F4561_SE.csv
308,5,2.0114942528735638,2,0.87,2019,F4561_SE.csv
309,5,2.9885057471264367,2,0.87,2019,F4561_SE.csv
310,5,2.9885057471264367,2,0.87,2019,F4561_SE.csv
311,5,4.0,2,0.87,2019,F4561_SE.csv
312,5,3.474285714285714,2,1.75,2019,F4561_SE.csv
313,5,2.244252873563218,2,3.48,2019,F4561_SE.csv
314,5,4.0,2,0.87,2019,F4561_SE.csv
315,5,6.988505747126437,2,0.87,2019,F4561_SE.csv
316,5,2.4742857142857138,2,1.75,2019,F4561_SE.csv
317,5,8.0,2,0.87,2019,F4561_SE.csv
318,5,3.474285714285714,2,1.75,2019,F4561_SE.csv
319,5,6.988505747126437,2,0.87,2019,F4561_SE.csv
320,5,9.988505747126435,2,0.87,2019,F4561_SE.csv
321,5,4.977011494252873,2,0.87,2019,F4561_SE.csv
322,5,2.4742857142857138,2,1.75,2019,F4561_SE.csv
323,5,5.988505747126437,2,0.87,2019,F4561_SE.csv
324,5,4.015384615384615,2,2.6,2019,F4561_SE.csv
325,5,3.977142857142857,2,1.75,2019,F4561_SE.csv
326,5,2.003846153846154,2,2.6,2019,F4561_SE.csv
327,5,3.6769230769230763,2,2.6,2019,F4561_SE.csv
328,5,3.0038461538461534,2,2.6,2019,F4561_SE.csv
329,5,2.0038412291933416,2,7.81,2019,F4561_SE.csv
330,5,3.0038387715930903,2,5.21,2019,F4561_SE.csv
331,5,2.4110854503464196,2,4.33,2019,F4561_SE.csv
332,5,2.0038387715930903,2,5.21,2019,F4561_SE.csv
333,5,2.4110854503464196,2,4.33,2019,F4561_SE.csv
334,5,3.0,2,3.48,2019,F4561_SE.csv
335,5,2.3358925143953937,2,5.21,2019,F4561_SE.csv
336,5,1.7171052631578947,2,6.08,2019,F4561_SE.csv
337,5,2.810623556581986,2,4.33,2019,F4561_SE.csv
338,5,2.3358925143953937,2,5.21,2019,F4561_SE.csv
339,5,7.439999999999999,2,1.75,2019,F4561_SE.csv
340,5,2.0038387715930903,2,5.21,2019,F4561_SE.csv
341,5,1.558258642765685,2,7.81,2019,F4561_SE.csv
342,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
343,5,1.558258642765685,2,7.81,2019,F4561_SE.csv
344,5,2.1414473684210527,2,6.08,2019,F4561_SE.csv
345,5,2.286184210526316,2,6.08,2019,F4561_SE.csv
346,5,1.9971264367816093,2,6.96,2019,F4561_SE.csv
347,5,1.8706896551724137,2,6.96,2019,F4561_SE.csv
348,5,2.834932821497121,2,5.21,2019,F4561_SE.csv
349,5,3.9942528735632186,2,3.48,2019,F4561_SE.csv
350,5,2.286184210526316,2,6.08,2019,F4561_SE.csv
351,5,2.4990403071017275,2,5.21,2019,F4561_SE.csv
352,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
353,5,2.1414473684210527,2,6.08,2019,F4561_SE.csv
354,5,3.0069284064665127,2,4.33,2019,F4561_SE.csv
355,5,1.4990421455938698,2,10.44,2019,F4561_SE.csv
356,5,1.8009205983889531,2,8.69,2019,F4561_SE.csv
357,5,2.6679462571976966,2,5.21,2019,F4561_SE.csv
358,5,2.6073903002309464,2,4.33,2019,F4561_SE.csv
359,5,1.622126436781609,2,6.96,2019,F4561_SE.csv
360,5,1.4982738780207134,2,8.69,2019,F4561_SE.csv
361,5,1.5449790794979081,2,9.56,2019,F4561_SE.csv
362,5,1.8911651728553136,2,7.81,2019,F4561_SE.csv
363,5,2.429276315789473,2,6.08,2019,F4561_SE.csv
364,5,1.699654775604143,2,8.69,2019,F4561_SE.csv
365,5,1.331417624521073,2,10.44,2019,F4561_SE.csv
366,5,1.5449790794979081,2,9.56,2019,F4561_SE.csv
367,5,1.4147509578544062,2,10.44,2019,F4561_SE.csv
368,5,1.4539748953974896,2,9.56,2019,F4561_SE.csv
369,5,1.4147509578544062,2,10.44,2019,F4561_SE.csv
370,5,1.8911651728553136,2,7.81,2019,F4561_SE.csv
371,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
372,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
373,5,1.8706896551724137,2,6.96,2019,F4561_SE.csv
374,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
375,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
376,5,2.286184210526316,2,6.08,2019,F4561_SE.csv
377,5,1.5995397008055237,2,8.69,2019,F4561_SE.csv
378,5,1.558258642765685,2,7.81,2019,F4561_SE.csv
379,5,1.6670934699103714,2,7.81,2019,F4561_SE.csv
380,5,1.9971264367816093,2,6.96,2019,F4561_SE.csv
381,5,2.0016447368421053,2,6.08,2019,F4561_SE.csv
382,5,1.9971264367816093,2,6.96,2019,F4561_SE.csv
383,5,1.8911651728553136,2,7.81,2019,F4561_SE.csv
384,5,1.4004602991944766,2,8.69,2019,F4561_SE.csv
385,5,1.4982738780207134,2,8.69,2019,F4561_SE.csv
386,5,1.7797695262483997,2,7.81,2019,F4561_SE.csv
387,5,1.5995397008055237,2,8.69,2019,F4561_SE.csv
388,5,1.5995397008055237,2,8.69,2019,F4561_SE.csv
389,5,1.3619246861924683,2,9.56,2019,F4561_SE.csv
390,5,1.4982738780207134,2,8.69,2019,F4561_SE.csv
391,5,1.5995397008055237,2,8.69,2019,F4561_SE.csv
