"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.99","2.3023023023023024","2003","04","07"
"9.0","2.2222222222222223","2003","06","24"
"8.01","1.7478152309612984","2004","03","09"
"7.0","2.144285714285714","2004","03","09"
"9.0","1.5555555555555556","2004","06","01"
"7.0","3.142857142857143","2004","06","01"
"6.01","3.327787021630616","2004","10","30"
"9.99","1.5025025025025025","2004","11","02"
"9.0","1.6677777777777778","2004","11","02"
"6.01","2.995008319467554","2004","11","02"
"9.99","1.4014014014014013","2004","11","02"
"7.0","2.0","2004","11","02"
"8.01","1.9975031210986267","2004","11","02"
"7.0","2.0","2004","11","04"
"9.99","1.7027027027027029","2005","03","29"
"8.01","1.873907615480649","2005","03","29"
"8.01","1.873907615480649","2005","04","04"
"11.0","1.8181818181818181","2005","11","19"
"9.0","2.2222222222222223","2005","11","25"
"7.0","2.0","2006","01","22"
"13.0","1.5384615384615385","2006","01","23"
"9.99","1.5025025025025025","2006","01","23"
"9.99","1.9009009009009008","2006","01","23"
"8.01","1.9975031210986267","2006","01","23"
"9.0","2.0","2006","01","23"
"6.01","2.329450915141431","2006","01","23"
"6.01","2.497504159733777","2006","01","23"
"6.01","2.662229617304493","2006","02","08"
"8.01","2.1235955056179776","2006","12","21"
"6.01","2.662229617304493","2006","12","21"
"9.0","1.7777777777777777","2006","12","21"
"11.0","1.5463636363636366","2006","12","21"
"11.99","1.8348623853211008","2006","12","21"
"9.99","1.4014014014014013","2007","01","04"
"9.0","1.7777777777777777","2007","01","04"
"9.99","1.5025025025025025","2007","01","08"
"9.0","1.6677777777777778","2008","03","23"
"6.01","3.492512479201331","2008","04","17"
"7.0","2.2857142857142856","2008","04","17"
"9.99","1.7027027027027029","2008","04","17"
"9.0","1.6677777777777778","2008","04","17"
"8.01","1.9975031210986267","2008","04","17"
"9.0","2.2222222222222223","2008","06","07"
"9.0","1.8900000000000001","2008","10","25"
"9.0","2.2222222222222223","2008","10","25"
"11.0","1.2727272727272727","2008","10","25"
"7.0","3.2857142857142856","2009","01","30"
"6.01","2.8302828618968388","2009","01","30"
"6.01","2.329450915141431","2009","03","06"
"8.01","1.9975031210986267","2009","04","11"
"9.0","1.5555555555555556","2009","09","26"
"9.99","2.1011011011011007","2009","11","14"
"11.0","2.090909090909091","2009","11","15"
"9.0","2.0","2009","11","15"
"8.01","2.247191011235955","2009","11","15"
"9.0","1.8900000000000001","2009","12","18"
"7.0","2.0","2009","12","18"
"8.01","1.7478152309612984","2009","12","18"
"11.99","1.5838198498748957","2009","12","18"
"8.01","2.1235955056179776","2009","12","19"
"9.0","2.11","2010","03","12"
"11.0","1.7263636363636363","2010","03","31"
"2.99","5.688963210702341","2010","04","03"
"8.01","2.247191011235955","2010","04","06"
"9.99","1.6016016016016015","2010","04","06"
"9.99","1.4014014014014013","2010","06","04"
"9.0","1.5555555555555556","2011","01","06"
"11.0","1.908181818181818","2011","11","12"
"11.0","1.6363636363636365","2011","11","12"
"13.0","1.4607692307692306","2011","11","13"
"11.0","1.8181818181818181","2011","11","24"
"9.0","1.6677777777777778","2011","12","29"
"5.0","2.8","2011","12","29"
"5.0","3.002","2012","01","05"
"9.0","1.5555555555555556","2012","01","09"
"7.0","2.2857142857142856","2012","01","13"
"9.0","1.7777777777777777","2012","01","25"
"9.0","2.0","2012","01","25"
"6.01","2.329450915141431","2012","01","26"
"6.01","2.662229617304493","2012","01","27"
"9.0","2.0","2012","09","14"
"7.0","2.0","2012","09","14"
"9.0","1.5555555555555556","2012","09","14"
"4.0","5.0","2012","11","15"
"5.0","3.2","2013","04","27"
"7.0","2.857142857142857","2014","10","19"
"2.99","4.682274247491638","2014","11","06"
"7.0","2.2857142857142856","2015","01","25"
"8.01","1.7478152309612984","2015","03","13"
"7.0","2.7128571428571426","2015","04","11"
"5.0","3.6","2015","08","30"
"2.99","4.682274247491638","2015","11","21"
"2.99","5.688963210702341","2015","11","22"
"8.01","1.9975031210986267","2016","04","29"
"7.0","2.5714285714285716","2016","11","30"
"6.01","2.995008319467554","2016","11","30"
"5.0","3.002","2016","12","31"
"9.0","1.7777777777777777","2018","12","12"
"9.99","1.5025025025025025","2018","12","13"
"9.0","1.5555555555555556","2018","12","13"
"9.99","1.6016016016016015","2019","04","22"
"9.0","1.5555555555555556","2019","04","22"
"8.01","2.746566791510612","2019","04","22"
"11.0","1.5463636363636366","2020","01","30"
"9.99","1.5025025025025025","2020","01","30"
"9.0","1.8900000000000001","2020","01","30"
"9.0","1.5555555555555556","2020","01","30"
"9.0","1.5555555555555556","2020","01","30"
"9.99","1.5025025025025025","2020","01","31"
"7.0","2.998571428571428","2020","01","31"
"9.99","1.8018018018018018","2020","03","02"
