"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","2.11","2003","10","28"
"7.0","2.2857142857142856","2003","10","28"
"9.0","1.6677777777777778","2004","03","05"
"11.99","1.6680567139282736","2006","02","21"
"9.99","1.5025025025025025","2006","02","22"
"17.01","1.7048794826572602","2007","01","07"
"11.99","1.7506255212677229","2008","02","05"
"9.0","1.7777777777777777","2008","02","05"
"9.99","1.6016016016016015","2008","04","17"
"8.01","2.247191011235955","2009","03","07"
"7.0","2.144285714285714","2009","04","02"
"5.0","3.6","2009","10","31"
"9.99","2.002002002002002","2011","02","21"
"9.99","1.4014014014014013","2011","02","21"
"8.01","1.9975031210986267","2011","02","21"
"7.0","2.7128571428571426","2011","02","26"
"8.01","1.873907615480649","2011","06","06"
"9.0","1.5555555555555556","2011","06","06"
"11.0","1.3645454545454545","2011","06","06"
"8.01","1.873907615480649","2011","06","07"
"8.01","2.247191011235955","2011","11","13"
"9.0","2.332222222222222","2011","11","13"
"9.0","2.332222222222222","2011","11","14"
"9.99","3.6036036036036037","2011","11","14"
"9.0","1.7777777777777777","2011","11","14"
"11.0","2.726363636363636","2011","11","14"
"13.0","2.3069230769230766","2011","11","14"
"11.0","1.5463636363636366","2011","12","20"
"7.0","3.2857142857142856","2011","12","31"
"9.99","2.2022022022022023","2012","01","09"
"6.01","2.662229617304493","2012","01","10"
"11.0","1.4545454545454546","2012","02","25"
"7.0","2.43","2012","10","01"
"7.0","2.144285714285714","2013","04","29"
"9.0","1.7777777777777777","2013","05","20"
"9.99","1.8018018018018018","2013","05","20"
"11.99","1.4186822351959967","2013","05","21"
"8.01","1.9975031210986267","2013","05","22"
"9.99","1.7027027027027029","2013","11","15"
"11.99","1.9182652210175146","2013","11","15"
"5.0","3.002","2016","02","07"
"9.99","1.9009009009009008","2016","12","31"
"9.0","2.11","2016","12","31"
"8.01","1.7478152309612984","2019","03","12"
"2.99","5.020066889632107","2019","03","17"
