"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","5.4628571428571435","2016","06","02"
"1.75","3.9771428571428573","2016","06","03"
"1.75","3.474285714285714","2016","06","05"
"1.75","7.942857142857143","2016","06","06"
"0.87","4.977011494252873","2016","06","06"
"0.87","8.977011494252872","2016","06","06"
"2.6","3.0038461538461534","2016","06","06"
"1.75","5.4628571428571435","2016","06","06"
"3.48","3.7413793103448274","2016","06","06"
"3.48","3.244252873563218","2016","06","06"
"2.6","5.346153846153846","2016","06","06"
"1.75","6.954285714285715","2016","06","06"
"2.6","4.680769230769231","2016","06","07"
"1.75","3.9771428571428573","2016","06","07"
"1.75","2.474285714285714","2016","06","07"
"1.75","3.474285714285714","2016","06","07"
"1.75","3.474285714285714","2016","06","07"
"1.75","2.474285714285714","2016","06","07"
"0.87","4.977011494252873","2016","06","08"
"1.75","2.9771428571428573","2016","06","08"
"2.6","2.6769230769230767","2016","06","08"
"2.6","3.342307692307692","2016","06","08"
"1.75","4.462857142857143","2016","06","08"
"2.6","3.0038461538461534","2016","06","08"
"1.75","4.965714285714285","2016","06","08"
"3.48","3.4971264367816093","2016","06","09"
"0.87","4.0","2016","06","10"
"1.75","2.9771428571428573","2016","06","10"
"0.87","6.988505747126437","2016","06","10"
"0.87","4.977011494252873","2016","06","10"
"1.75","3.474285714285714","2016","06","10"
"0.87","4.977011494252873","2016","06","11"
"1.75","3.474285714285714","2016","06","11"
"2.6","3.0038461538461534","2016","06","11"
"1.75","3.9771428571428573","2016","06","12"
"0.87","9.988505747126437","2016","06","12"
"0.87","4.977011494252873","2016","06","12"
"1.75","3.9771428571428573","2016","06","13"
"0.87","2.9885057471264367","2016","06","14"
"1.75","2.9771428571428573","2016","06","14"
"1.75","3.474285714285714","2016","06","14"
"1.75","3.474285714285714","2016","06","14"
"2.6","2.3384615384615386","2016","06","14"
"1.75","4.965714285714285","2016","06","14"
"1.75","4.462857142857143","2016","06","14"
"1.75","3.474285714285714","2016","06","14"
"1.75","3.9771428571428573","2016","06","16"
"1.75","4.462857142857143","2016","06","16"
"1.75","4.965714285714285","2016","06","17"
"1.75","4.965714285714285","2016","06","17"
"0.87","4.0","2016","06","18"
"0.87","4.977011494252873","2016","06","18"
"0.87","4.0","2016","06","18"
"0.87","4.977011494252873","2016","06","18"
"0.87","5.988505747126437","2016","06","18"
"1.75","2.9771428571428573","2016","06","18"
"0.87","5.988505747126437","2016","06","18"
"0.87","4.0","2016","06","19"
"2.6","3.0038461538461534","2016","06","19"
"1.75","5.965714285714285","2016","06","19"
"1.75","4.965714285714285","2016","06","19"
"0.87","5.988505747126437","2016","06","20"
"0.87","4.977011494252873","2016","06","22"
"1.75","2.9771428571428573","2016","06","22"
"1.75","4.462857142857143","2016","06","22"
"3.48","2.244252873563218","2016","06","22"
"2.6","3.342307692307692","2016","06","22"
"0.87","6.988505747126437","2016","06","23"
"1.75","2.9771428571428573","2016","06","23"
"0.87","4.977011494252873","2016","06","23"
"1.75","3.474285714285714","2016","06","23"
"1.75","3.9771428571428573","2016","06","23"
"2.6","3.0038461538461534","2016","06","23"
"5.21","2.166986564299424","2016","06","23"
"0.87","6.988505747126437","2016","06","24"
"1.75","3.474285714285714","2016","06","24"
"2.6","3.0038461538461534","2016","06","24"
"3.48","2.0","2016","06","27"
"1.75","4.462857142857143","2016","06","27"
"1.75","3.9771428571428573","2016","06","27"
"1.75","3.9771428571428573","2016","06","28"
"0.87","2.9885057471264367","2016","06","28"
"1.75","2.9771428571428573","2016","06","28"
"1.75","4.462857142857143","2016","06","28"
"0.87","5.988505747126437","2016","06","29"
"0.87","4.977011494252873","2016","06","29"
"1.75","3.474285714285714","2016","06","29"
"2.6","2.6769230769230767","2016","06","29"
"1.75","3.474285714285714","2016","06","29"
"0.87","6.988505747126437","2016","06","29"
