"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"6.01","2.995008319467554","2004","05","10"
"11.99","1.7506255212677229","2004","05","22"
"9.99","1.5025025025025025","2004","12","30"
"17.01","1.2933568489124043","2004","12","31"
"9.99","1.7027027027027029","2004","12","31"
"8.01","1.9975031210986267","2005","01","05"
"9.0","1.6677777777777778","2005","01","06"
"11.99","1.5012510425354462","2005","01","07"
"14.0","1.715","2005","01","08"
"14.0","1.5714285714285714","2005","01","08"
"16.0","1.500625","2005","01","08"
"14.0","1.8578571428571429","2005","01","08"
"14.0","1.5714285714285714","2005","01","09"
"8.01","2.4968789013732833","2005","03","18"
"15.01","1.8647568287808127","2005","03","19"
"18.0","1.3888888888888888","2005","03","19"
"16.0","1.500625","2005","03","19"
"14.0","1.715","2005","03","19"
"11.99","1.8348623853211008","2005","03","20"
"11.99","1.8348623853211008","2005","03","20"
"14.0","1.5714285714285714","2005","03","20"
"11.99","2.0025020850708923","2005","03","20"
"9.99","2.002002002002002","2005","03","20"
"11.99","1.6680567139282736","2005","04","23"
"11.99","1.5012510425354462","2005","04","27"
"11.99","2.0025020850708923","2005","04","27"
"11.99","1.4186822351959967","2005","04","29"
"11.99","1.6680567139282736","2006","11","26"
"16.0","1.4375","2006","11","26"
"9.99","1.9009009009009008","2006","11","26"
"14.0","1.5714285714285714","2006","11","26"
"8.01","1.9975031210986267","2006","11","27"
"9.99","1.8018018018018018","2006","11","27"
"15.01","1.4656895403064625","2007","12","02"
"9.99","1.5025025025025025","2008","01","27"
"9.99","1.5025025025025025","2008","01","28"
"9.99","1.6016016016016015","2008","01","28"
"9.0","1.8900000000000001","2008","01","28"
"9.99","1.7027027027027029","2008","01","28"
"9.99","1.6016016016016015","2008","01","28"
"9.99","1.6016016016016015","2008","01","28"
"9.99","1.6016016016016015","2008","01","29"
"9.99","1.7027027027027029","2008","01","29"
"9.99","1.6016016016016015","2008","01","29"
"9.0","1.7777777777777777","2008","01","29"
"9.99","1.6016016016016015","2008","01","29"
"9.99","1.5025025025025025","2008","04","18"
"9.99","1.6016016016016015","2008","04","18"
"8.01","2.1235955056179776","2008","04","18"
"15.01","1.665556295802798","2008","04","19"
"9.99","1.6016016016016015","2008","04","19"
"9.0","1.6677777777777778","2008","04","20"
"9.99","1.5025025025025025","2008","05","24"
"9.99","1.5025025025025025","2008","05","24"
"9.99","1.6016016016016015","2008","05","24"
"9.99","1.5025025025025025","2008","12","14"
"15.01","1.3324450366422385","2009","01","05"
"9.99","1.6016016016016015","2009","03","08"
"11.99","1.8348623853211008","2009","10","12"
"11.99","1.8348623853211008","2009","10","13"
"15.01","1.7328447701532312","2009","10","13"
"18.0","1.555","2009","10","13"
"11.99","1.6680567139282736","2009","10","13"
"11.99","1.5012510425354462","2009","10","13"
"11.99","1.6680567139282736","2009","10","13"
"9.99","1.8018018018018018","2009","10","13"
"9.99","1.6016016016016015","2009","10","13"
"9.99","1.8018018018018018","2009","10","13"
"11.0","2.0","2009","10","14"
"11.99","1.8348623853211008","2009","10","14"
"9.0","1.6677777777777778","2009","10","14"
"9.99","2.002002002002002","2009","10","14"
"11.99","1.8348623853211008","2009","10","14"
"9.0","1.7777777777777777","2009","10","14"
