"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","1.7777777777777777","2016","06","18"
"9.0","1.7777777777777777","2016","06","18"
"11.0","1.2727272727272727","2016","06","19"
"9.99","1.6016016016016015","2016","06","22"
"7.0","2.2857142857142856","2016","06","22"
"9.0","1.5555555555555556","2016","07","15"
"8.01","1.873907615480649","2016","07","15"
"9.0","1.6677777777777778","2016","07","15"
"9.0","1.7777777777777777","2016","07","15"
"11.0","1.4545454545454546","2016","07","16"
"9.99","1.5025025025025025","2016","07","16"
"7.0","2.2857142857142856","2016","07","16"
"9.0","1.6677777777777778","2016","07","16"
"9.0","1.5555555555555556","2016","07","16"
"9.0","2.2222222222222223","2016","09","09"
"6.01","2.329450915141431","2016","09","10"
"11.99","1.5012510425354462","2016","09","22"
"16.0","1.375","2016","11","28"
"13.0","1.6923076923076923","2016","11","28"
"11.99","1.7506255212677229","2016","11","28"
"9.99","1.6016016016016015","2016","11","30"
"11.0","2.0","2016","11","30"
"8.01","2.1235955056179776","2016","11","30"
"11.99","1.6680567139282736","2016","11","30"
"13.0","1.3846153846153846","2016","11","30"
"15.01","1.5996002664890074","2016","12","03"
"11.0","1.6363636363636365","2016","12","19"
"20.99","1.2391615054787997","2016","12","19"
"11.99","1.4186822351959967","2016","12","20"
"16.0","1.749375","2016","12","31"
"15.01","1.3324450366422385","2016","12","31"
"13.0","1.3846153846153846","2016","12","31"
"9.0","1.7777777777777777","2016","12","31"
"11.0","1.8181818181818181","2017","01","16"
"11.0","1.8181818181818181","2017","01","16"
"11.99","1.4186822351959967","2017","01","17"
"16.0","1.311875","2017","01","17"
"13.0","1.5384615384615385","2017","01","17"
"16.0","1.311875","2017","01","17"
"15.01","1.4656895403064625","2017","01","17"
"15.01","1.7328447701532312","2017","01","17"
"16.0","1.5625","2017","01","17"
"18.99","1.4218009478672986","2017","01","17"
"14.0","1.9285714285714286","2017","01","17"
"11.99","1.5838198498748957","2017","01","17"
"11.99","1.5838198498748957","2017","01","17"
"11.99","1.4186822351959967","2017","01","17"
"13.0","1.4607692307692306","2017","01","17"
"9.99","1.9009009009009008","2017","01","17"
"7.0","2.43","2017","01","29"
"11.0","1.7263636363636363","2017","02","11"
"9.99","1.7027027027027029","2017","02","15"
"14.0","1.2857142857142858","2017","02","15"
"8.01","2.247191011235955","2017","02","15"
"11.99","1.5012510425354462","2017","02","15"
"13.0","2.076923076923077","2017","02","15"
"15.01","1.3984010659560293","2017","02","15"
"15.01","1.3324450366422385","2017","02","15"
"13.0","1.5384615384615385","2017","02","15"
"7.0","2.2857142857142856","2017","02","15"
"9.0","1.6677777777777778","2017","05","05"
"14.0","1.2857142857142858","2017","05","13"
"13.0","1.3846153846153846","2017","05","13"
"14.0","1.215","2017","05","13"
"9.99","1.5025025025025025","2017","05","23"
"9.99","1.5025025025025025","2017","05","23"
"14.0","1.3564285714285713","2017","05","23"
"9.0","1.6677777777777778","2017","05","23"
"9.0","1.5555555555555556","2017","05","23"
"7.0","2.857142857142857","2017","05","23"
"9.0","1.6677777777777778","2017","05","23"
"9.0","1.6677777777777778","2017","05","23"
"11.0","1.3645454545454545","2017","05","23"
"9.99","1.6016016016016015","2017","05","23"
"11.0","1.4545454545454546","2017","05","23"
"9.0","1.6677777777777778","2017","05","23"
"11.0","1.5463636363636366","2017","05","23"
"9.99","1.6016016016016015","2017","05","23"
"11.0","1.4545454545454546","2017","05","23"
"13.0","1.4607692307692306","2017","05","23"
"11.99","1.5838198498748957","2017","05","23"
"9.99","1.5025025025025025","2017","05","23"
"13.0","1.4607692307692306","2017","05","23"
"11.0","1.5463636363636366","2017","05","23"
"9.0","2.11","2017","05","23"
"11.99","1.5838198498748957","2017","05","23"
"17.01","1.2933568489124043","2017","05","23"
"15.01","1.3984010659560293","2017","05","23"
"9.0","1.8900000000000001","2017","05","23"
"11.0","1.908181818181818","2017","05","23"
"14.0","1.3564285714285713","2017","05","23"
"16.0","1.4375","2017","05","23"
"14.0","1.5714285714285714","2017","05","23"
"13.0","1.7692307692307692","2017","05","24"
"16.0","1.375","2017","05","24"
"14.0","1.3564285714285713","2017","05","24"
"11.99","1.4186822351959967","2017","05","24"
"13.0","1.4607692307692306","2017","05","24"
"11.99","1.4186822351959967","2017","05","24"
"16.0","1.625625","2017","05","24"
"18.0","1.3888888888888888","2017","05","24"
"14.0","1.499285714285714","2017","05","24"
"16.0","1.311875","2017","05","24"
"16.0","1.375","2017","05","24"
"14.0","1.499285714285714","2017","05","24"
"16.0","1.4375","2017","05","24"
"14.0","1.4285714285714286","2017","05","24"
"9.0","1.5555555555555556","2017","05","24"
"9.99","1.7027027027027029","2017","05","24"
"9.0","2.0","2017","05","24"
"9.0","1.5555555555555556","2017","05","24"
"9.0","2.0","2017","05","24"
"11.99","1.6680567139282736","2017","05","24"
"11.0","1.4545454545454546","2017","05","24"
