"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.83","1.3344768439108061","2017","09","21"
"7.78","1.2493573264781492","2017","09","21"
"9.72","1.1975308641975309","2017","09","21"
"11.64","1.1692439862542954","2017","09","21"
"11.64","1.1692439862542954","2017","09","21"
"11.64","1.0","2017","09","21"
"9.72","1.1975308641975309","2017","09","21"
"7.78","1.2493573264781492","2017","09","21"
"7.78","1.0","2017","09","21"
"5.83","1.3344768439108061","2017","09","21"
"3.89","1.0","2017","09","29"
"3.89","1.4987146529562982","2017","09","29"
"3.89","1.0","2017","09","29"
"5.83","1.3344768439108061","2017","09","29"
"7.78","1.2493573264781492","2017","09","29"
"5.83","1.3344768439108061","2017","09","29"
"5.83","1.3344768439108061","2017","09","29"
"7.78","1.2493573264781492","2017","09","30"
"9.72","1.1975308641975309","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"11.64","1.1692439862542954","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"11.64","1.3341924398625429","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"9.72","1.1975308641975309","2017","09","30"
"11.64","1.3341924398625429","2017","09","30"
"11.64","1.1692439862542954","2017","09","30"
"9.72","1.1975308641975309","2017","09","30"
"7.78","1.2493573264781492","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","09","30"
"13.61","1.1410727406318883","2017","10","01"
"13.61","1.1410727406318883","2017","10","01"
"11.64","1.1692439862542954","2017","10","01"
"11.64","1.1692439862542954","2017","10","01"
"7.78","1.4961439588688947","2017","10","01"
"9.72","1.1975308641975309","2017","10","01"
"9.72","1.1975308641975309","2017","10","01"
"7.78","1.2493573264781492","2017","10","01"
"7.78","1.2493573264781492","2017","10","01"
"5.83","1.3344768439108061","2017","10","01"
"9.72","1.1975308641975309","2017","10","01"
"7.78","1.2493573264781492","2017","10","01"
"7.78","1.2493573264781492","2017","10","04"
"9.72","1.5977366255144032","2017","10","06"
"11.64","1.1692439862542954","2017","10","06"
"11.64","1.3341924398625429","2017","10","06"
"11.64","1.1692439862542954","2017","10","06"
"11.64","1.1692439862542954","2017","10","06"
"11.64","1.3341924398625429","2017","10","06"
"11.64","1.1692439862542954","2017","10","06"
"11.64","1.1692439862542954","2017","10","06"
"9.72","1.4002057613168724","2017","10","06"
"9.72","1.4002057613168724","2017","10","06"
"9.72","1.1975308641975309","2017","10","06"
"9.72","1.1975308641975309","2017","10","07"
"7.78","1.2493573264781492","2017","10","07"
"17.48","1.2219679633867275","2017","10","09"
"17.48","1.333524027459954","2017","10","09"
"17.48","1.2219679633867275","2017","10","09"
"17.48","1.2219679633867275","2017","10","09"
"13.61","1.2843497428361499","2017","10","09"
"13.61","1.2843497428361499","2017","10","09"
"9.72","1.4002057613168724","2017","10","09"
"3.89","1.4987146529562982","2017","10","10"
"5.83","1.3344768439108061","2017","10","10"
"5.83","1.3344768439108061","2017","10","10"
"7.78","1.2493573264781492","2017","10","10"
"7.78","1.2493573264781492","2017","10","10"
"5.83","1.3344768439108061","2017","10","10"
"3.89","1.0","2017","10","10"
"3.89","1.0","2017","10","10"
"1.94","1.0","2017","10","10"
"1.94","2.0051546391752577","2017","10","10"
"3.89","1.0","2017","10","11"
"5.83","1.3344768439108061","2017","10","11"
"11.64","1.1692439862542954","2017","10","11"
"15.53","1.2504829362524148","2017","10","11"
"13.61","1.1410727406318883","2017","10","11"
"11.64","1.1692439862542954","2017","10","11"
"15.53","1.2504829362524148","2017","10","11"
"11.64","1.1692439862542954","2017","10","11"
"1.94","2.0051546391752577","2017","10","12"
"3.89","1.4987146529562982","2017","10","12"
"5.83","1.3344768439108061","2017","10","12"
"5.83","1.3344768439108061","2017","10","12"
"21.36","1.182116104868914","2017","10","14"
"7.78","1.4961439588688947","2017","10","14"
"17.48","1.110983981693364","2017","10","14"
"17.48","1.333524027459954","2017","10","14"
"21.36","1.182116104868914","2017","10","14"
"19.42","1.2003089598352212","2017","10","14"
"17.48","1.110983981693364","2017","10","14"
"15.53","1.2504829362524148","2017","10","14"
"13.61","1.1410727406318883","2017","10","14"
"9.72","1.1975308641975309","2017","10","14"
"7.78","1.2493573264781492","2017","10","14"
"5.83","1.3344768439108061","2017","10","14"
"3.89","1.4987146529562982","2017","10","14"
"11.64","1.1692439862542954","2017","10","15"
"17.48","1.110983981693364","2017","10","15"
"21.36","1.182116104868914","2017","10","15"
"21.36","1.272940074906367","2017","10","15"
"19.42","1.2003089598352212","2017","10","15"
"19.42","1.2003089598352212","2017","10","15"
"19.42","1.2003089598352212","2017","10","15"
"19.42","1.2003089598352212","2017","10","15"
"17.48","1.333524027459954","2017","10","15"
"17.48","1.2219679633867275","2017","10","15"
"17.48","1.2219679633867275","2017","10","15"
"15.53","1.3754024468770123","2017","10","15"
"13.61","1.2843497428361499","2017","10","15"
"13.61","1.2843497428361499","2017","10","15"
"11.64","1.0","2017","10","15"
"1.94","2.0051546391752577","2017","10","19"
"9.72","1.4002057613168724","2017","10","19"
"9.72","1.1975308641975309","2017","10","19"
"11.64","1.1692439862542954","2017","10","19"
"11.64","1.3341924398625429","2017","10","20"
"11.64","1.3341924398625429","2017","10","20"
"15.53","1.1255634256278173","2017","10","20"
"11.64","1.3341924398625429","2017","10","20"
"13.61","1.2843497428361499","2017","10","20"
"13.61","1.2843497428361499","2017","10","20"
